Time,Ask,Bid,AskVolume,BidVolume
15.11.2012 14:48:45.396,1.27722,1.27717,9.23,1.73
15.11.2012 14:48:46.857,1.27720,1.27715,3.75,2.25
15.11.2012 14:48:47.216,1.27719,1.27713,1.73,1.73
15.11.2012 14:48:47.457,1.27722,1.27715,3.23,1.73
15.11.2012 14:48:48.076,1.27722,1.27715,1.73,1.73
15.11.2012 14:48:48.864,1.27723,1.27716,6.98,3.23
15.11.2012 14:48:49.358,1.27725,1.27721,2.78,1.73
15.11.2012 14:48:49.429,1.27725,1.27721,2.03,2.48
15.11.2012 14:48:49.798,1.27727,1.27722,6.23,2.48
15.11.2012 14:48:49.985,1.27728,1.27723,5.10,1.50
15.11.2012 14:48:50.107,1.27726,1.27721,2.85,1.73
15.11.2012 14:48:50.235,1.27726,1.27716,2.85,7.73
15.11.2012 14:48:50.692,1.27723,1.27718,1.73,1.73
15.11.2012 14:48:51.175,1.27727,1.27720,1.73,5.25
15.11.2012 14:48:51.236,1.27730,1.27723,1.50,4.50
15.11.2012 14:48:51.537,1.27729,1.27724,1.73,3.75
15.11.2012 14:48:51.597,1.27731,1.27726,3.00,1.73
15.11.2012 14:48:52.256,1.27729,1.27725,1.73,3.98
15.11.2012 14:48:52.745,1.27729,1.27725,1.50,3.75
15.11.2012 14:48:53.173,1.27730,1.27725,1.73,4.73
15.11.2012 14:48:54.474,1.27731,1.27726,1.50,1.73
15.11.2012 14:48:55.017,1.27731,1.27726,2.33,2.48
15.11.2012 14:48:56.597,1.27731,1.27726,2.48,2.48
15.11.2012 14:48:59.335,1.27731,1.27726,1.50,2.48
15.11.2012 14:49:02.797,1.27731,1.27726,2.25,1.73
15.11.2012 14:49:06.706,1.27731,1.27726,1.73,1.73
15.11.2012 14:49:07.186,1.27733,1.27727,5.25,1.73
15.11.2012 14:49:07.856,1.27736,1.27729,3.75,1.50
15.11.2012 14:49:07.917,1.27735,1.27729,4.73,1.73
15.11.2012 14:49:08.337,1.27740,1.27733,7.45,4.50
15.11.2012 14:49:08.406,1.27740,1.27734,6.83,5.25
15.11.2012 14:49:08.946,1.27740,1.27735,3.23,3.00
15.11.2012 14:49:09.007,1.27741,1.27736,4.73,2.48
15.11.2012 14:49:09.187,1.27741,1.27736,6.23,1.50
15.11.2012 14:49:09.497,1.27742,1.27736,1.88,2.48
15.11.2012 14:49:09.976,1.27741,1.27735,1.73,1.50
15.11.2012 14:49:10.515,1.27740,1.27735,4.73,1.73
15.11.2012 14:49:10.877,1.27741,1.27737,1.50,1.50
15.11.2012 14:49:11.056,1.27743,1.27737,3.23,1.73
15.11.2012 14:49:11.295,1.27743,1.27737,3.23,2.48
15.11.2012 14:49:11.892,1.27743,1.27737,2.48,2.48
15.11.2012 14:49:12.276,1.27740,1.27735,4.50,1.50
15.11.2012 14:49:12.815,1.27742,1.27736,3.23,1.50
15.11.2012 14:49:13.357,1.27741,1.27736,2.48,1.73
15.11.2012 14:49:16.836,1.27745,1.27739,1.50,5.25
15.11.2012 14:49:17.376,1.27742,1.27737,1.50,3.38
15.11.2012 14:49:17.615,1.27742,1.27737,2.25,2.25
15.11.2012 14:49:17.796,1.27742,1.27737,1.73,1.73
15.11.2012 14:49:18.219,1.27743,1.27737,7.73,2.25
15.11.2012 14:49:18.548,1.27743,1.27737,7.73,2.25
15.11.2012 14:49:19.145,1.27743,1.27737,7.73,1.73
15.11.2012 14:49:19.447,1.27743,1.27739,1.73,3.98
15.11.2012 14:49:19.995,1.27746,1.27739,6.98,1.73
15.11.2012 14:49:20.116,1.27742,1.27737,1.73,1.73
15.11.2012 14:49:21.097,1.27745,1.27738,4.50,1.73
15.11.2012 14:49:21.578,1.27748,1.27740,3.38,2.48
15.11.2012 14:49:21.646,1.27748,1.27741,4.13,2.48
15.11.2012 14:49:22.067,1.27750,1.27744,4.50,4.58
15.11.2012 14:49:22.190,1.27752,1.27745,4.13,1.73
15.11.2012 14:49:22.436,1.27752,1.27746,1.13,1.73
15.11.2012 14:49:22.495,1.27752,1.27746,2.63,1.73
15.11.2012 14:49:22.556,1.27751,1.27744,5.93,3.23
15.11.2012 14:49:22.862,1.27748,1.27741,2.48,5.63
15.11.2012 14:49:23.061,1.27748,1.27741,2.48,2.40
15.11.2012 14:49:23.131,1.27748,1.27741,3.23,2.63
15.11.2012 14:49:23.556,1.27745,1.27740,1.50,2.40
15.11.2012 14:49:23.615,1.27744,1.27738,1.50,2.48
15.11.2012 14:49:26.008,1.27744,1.27737,4.35,2.48
15.11.2012 14:49:26.425,1.27745,1.27737,5.25,3.98
15.11.2012 14:49:28.303,1.27747,1.27740,2.25,1.73
15.11.2012 14:49:28.607,1.27747,1.27740,1.50,3.00
15.11.2012 14:49:29.446,1.27745,1.27740,1.50,2.25
15.11.2012 14:49:29.986,1.27746,1.27740,1.50,2.33
15.11.2012 14:49:30.746,1.27743,1.27739,1.50,1.50
15.11.2012 14:49:30.872,1.27743,1.27738,1.73,2.48
15.11.2012 14:49:32.855,1.27741,1.27734,7.50,7.35
15.11.2012 14:49:33.037,1.27738,1.27734,4.50,5.10
15.11.2012 14:49:33.099,1.27737,1.27731,1.50,3.38
15.11.2012 14:49:33.646,1.27738,1.27731,3.75,2.48
15.11.2012 14:49:33.708,1.27734,1.27731,1.50,1.50
15.11.2012 14:49:35.546,1.27734,1.27730,1.50,1.50
15.11.2012 14:49:36.926,1.27732,1.27728,3.75,1.50
15.11.2012 14:49:37.107,1.27732,1.27726,4.50,2.48
15.11.2012 14:49:37.615,1.27731,1.27727,1.73,1.73
15.11.2012 14:49:38.714,1.27732,1.27727,5.25,2.48
15.11.2012 14:49:38.966,1.27733,1.27728,1.50,1.73
15.11.2012 14:49:39.480,1.27734,1.27728,3.23,3.23
15.11.2012 14:49:42.040,1.27733,1.27728,1.50,1.50
15.11.2012 14:49:42.572,1.27732,1.27723,11.10,1.50
15.11.2012 14:49:42.648,1.27725,1.27720,2.25,2.55
15.11.2012 14:49:43.196,1.27725,1.27719,3.98,1.73
15.11.2012 14:49:43.706,1.27725,1.27718,3.98,3.23
15.11.2012 14:49:44.786,1.27721,1.27717,3.75,1.50
15.11.2012 14:49:44.965,1.27719,1.27714,7.73,1.50
15.11.2012 14:49:45.027,1.27716,1.27710,7.65,10.59
15.11.2012 14:49:45.087,1.27715,1.27708,6.53,2.48
15.11.2012 14:49:45.147,1.27715,1.27710,3.75,2.40
15.11.2012 14:49:45.328,1.27714,1.27709,3.23,1.73
15.11.2012 14:49:45.746,1.27716,1.27708,5.85,2.48
15.11.2012 14:49:45.868,1.27712,1.27708,6.00,1.50
15.11.2012 14:49:46.428,1.27714,1.27709,2.48,1.50
15.11.2012 14:49:46.736,1.27712,1.27707,5.48,1.73
15.11.2012 14:49:47.166,1.27712,1.27707,6.23,1.73
15.11.2012 14:49:47.347,1.27709,1.27705,1.50,1.50
15.11.2012 14:49:47.706,1.27706,1.27701,1.50,4.73
15.11.2012 14:49:47.770,1.27706,1.27701,1.50,3.98
15.11.2012 14:49:48.315,1.27707,1.27701,1.50,4.73
15.11.2012 14:49:48.435,1.27707,1.27702,1.73,1.73
15.11.2012 14:49:49.095,1.27707,1.27702,1.73,2.25
15.11.2012 14:49:49.927,1.27707,1.27701,3.98,1.73
15.11.2012 14:49:50.008,1.27710,1.27704,3.94,1.73
15.11.2012 14:49:50.409,1.27716,1.27710,5.07,3.60
15.11.2012 14:49:50.536,1.27716,1.27712,4.84,1.73
15.11.2012 14:49:50.897,1.27715,1.27709,1.50,2.85
15.11.2012 14:49:50.956,1.27714,1.27709,1.50,3.83
15.11.2012 14:49:51.497,1.27717,1.27711,2.44,4.50
15.11.2012 14:49:52.057,1.27716,1.27711,2.44,3.75
15.11.2012 14:49:53.235,1.27718,1.27712,2.25,1.73
15.11.2012 14:49:53.776,1.27716,1.27711,2.44,3.75
15.11.2012 14:49:54.077,1.27719,1.27714,3.00,1.50
15.11.2012 14:49:54.197,1.27724,1.27718,1.05,4.50
15.11.2012 14:49:54.316,1.27725,1.27720,1.50,3.75
15.11.2012 14:49:54.496,1.27722,1.27717,1.50,2.25
15.11.2012 14:49:54.676,1.27719,1.27714,2.85,6.88
15.11.2012 14:49:54.735,1.27717,1.27711,3.75,6.15
15.11.2012 14:49:55.038,1.27718,1.27712,1.50,1.50
15.11.2012 14:49:55.108,1.27717,1.27711,5.25,3.90
15.11.2012 14:49:55.419,1.27719,1.27713,1.50,4.50
15.11.2012 14:49:55.487,1.27719,1.27712,1.50,3.75
15.11.2012 14:49:55.547,1.27722,1.27715,7.88,1.50
15.11.2012 14:49:55.606,1.27723,1.27717,5.10,1.50
15.11.2012 14:49:56.160,1.27725,1.27719,1.50,1.50
15.11.2012 14:49:56.696,1.27724,1.27720,1.50,1.50
15.11.2012 14:49:57.026,1.27724,1.27718,2.25,2.25
15.11.2012 14:49:57.541,1.27724,1.27718,1.50,3.00
15.11.2012 14:49:57.610,1.27724,1.27718,1.50,3.00
15.11.2012 14:49:57.735,1.27724,1.27718,1.50,3.00
15.11.2012 14:49:58.095,1.27725,1.27720,1.73,1.73
15.11.2012 14:49:58.395,1.27726,1.27720,1.73,2.48
15.11.2012 14:49:59.007,1.27727,1.27723,1.50,1.50
15.11.2012 14:49:59.307,1.27732,1.27725,1.50,8.85
15.11.2012 14:49:59.367,1.27735,1.27728,2.13,5.25
15.11.2012 14:49:59.937,1.27734,1.27729,3.15,5.25
15.11.2012 14:50:00.076,1.27734,1.27727,1.73,3.98
15.11.2012 14:50:00.379,1.27735,1.27729,2.25,5.48
15.11.2012 14:50:01.036,1.27737,1.27729,4.73,5.48
15.11.2012 14:50:01.582,1.27736,1.27731,1.50,4.50
15.11.2012 14:50:01.706,1.27736,1.27730,1.73,3.23
15.11.2012 14:50:01.948,1.27733,1.27729,1.50,2.25
15.11.2012 14:50:02.257,1.27732,1.27726,3.00,2.93
15.11.2012 14:50:02.605,1.27730,1.27722,19.41,1.14
15.11.2012 14:50:02.725,1.27731,1.27721,1.50,4.73
15.11.2012 14:50:02.847,1.27730,1.27721,19.41,4.50
15.11.2012 14:50:02.907,1.27730,1.27721,19.41,4.50
15.11.2012 14:50:03.268,1.27726,1.27720,1.50,2.25
15.11.2012 14:50:04.545,1.27727,1.27721,1.50,2.25
15.11.2012 14:50:05.336,1.27727,1.27722,1.50,2.25
15.11.2012 14:50:06.887,1.27729,1.27725,1.50,3.00
15.11.2012 14:50:07.245,1.27735,1.27728,14.55,3.23
15.11.2012 14:50:07.547,1.27732,1.27728,1.50,1.50
15.11.2012 14:50:07.605,1.27732,1.27728,1.73,1.73
15.11.2012 14:50:07.790,1.27732,1.27726,2.48,1.73
15.11.2012 14:50:07.858,1.27732,1.27725,2.48,4.73
15.11.2012 14:50:07.977,1.27731,1.27724,2.48,6.00
15.11.2012 14:50:08.037,1.27729,1.27723,1.73,3.98
15.11.2012 14:50:08.278,1.27731,1.27725,2.25,1.50
15.11.2012 14:50:08.399,1.27733,1.27726,4.50,1.50
15.11.2012 14:50:08.586,1.27734,1.27728,1.50,1.50
15.11.2012 14:50:08.645,1.27731,1.27726,3.00,1.50
15.11.2012 14:50:08.827,1.27731,1.27725,1.73,3.23
15.11.2012 14:50:09.366,1.27732,1.27726,2.48,4.73
15.11.2012 14:50:09.545,1.27733,1.27728,2.25,4.50
15.11.2012 14:50:09.805,1.27735,1.27729,2.78,1.73
15.11.2012 14:50:10.126,1.27737,1.27731,2.25,6.23
15.11.2012 14:50:10.763,1.27736,1.27731,1.50,5.25
15.11.2012 14:50:11.276,1.27737,1.27731,2.25,6.23
15.11.2012 14:50:12.538,1.27737,1.27731,1.50,5.48
15.11.2012 14:50:13.416,1.27737,1.27730,2.25,3.23
15.11.2012 14:50:13.776,1.27735,1.27730,1.73,2.48
